TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
oesophagus-carcinoma-adenocarcinoma	oesophagus-carcinoma-adenocarcinoma	0.11695545756284	-2.14596212126188	13776	14	0.933333333333333	15	17775	9668,217,4241,5352,3164,84969,81831,256979,1287,51313,26047,25924,54843,2122	ZNF432,ALDH2,MFI2,PLOD2,NR4A1,TOX2,NETO2,SUN3,COL4A5,FAM198B,CNTNAP2,MYRIP,SYTL2,MECOM
blood_vessel	blood_vessel	0.119045964858608	-2.1282456011335	2302	4	0.266666666666667	15	17775	26047,25924,84969,2122	CNTNAP2,MYRIP,TOX2,MECOM
bone-Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	bone-Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	0.120000372074078	-2.12026043558758	6295	8	0.533333333333333	15	17775	9668,217,3164,256979,1287,51313,54843,2122	ZNF432,ALDH2,NR4A1,SUN3,COL4A5,FAM198B,SYTL2,MECOM
upper_aerodigestive_tract	upper_aerodigestive_tract	0.121575579870089	-2.10721915305457	13823	14	0.933333333333333	15	17775	9668,217,4241,5352,3164,84969,81831,256979,1287,51313,26047,25924,54843,2122	ZNF432,ALDH2,MFI2,PLOD2,NR4A1,TOX2,NETO2,SUN3,COL4A5,FAM198B,CNTNAP2,MYRIP,SYTL2,MECOM
islet_cell	islet_cell	0.123156998636263	-2.09429532585365	155	1	0.0666666666666667	15	17775	9668	ZNF432
pancreas-carcinoid-endocrine_tumour-islet_cell	pancreas-carcinoid-endocrine_tumour-islet_cell	0.123156998636263	-2.09429532585365	155	1	0.0666666666666667	15	17775	9668	ZNF432
central_nervous_system-brain-glioma-astrocytoma_Grade_III	central_nervous_system-brain-glioma-astrocytoma_Grade_III	0.123943816932359	-2.08792690530822	1482	3	0.2	15	17775	26047,4241,25924	CNTNAP2,MFI2,MYRIP
adrenal_cortical_carcinoma	adrenal_cortical_carcinoma	0.124918852987961	-2.08009092858219	2342	4	0.266666666666667	15	17775	25924,3164,84969,54843	MYRIP,NR4A1,TOX2,SYTL2
stomach-adenocarcinoma	stomach-adenocarcinoma	0.127830465193453	-2.05705038365172	4272	6	0.4	15	17775	1287,217,26047,5352,54843,2122	COL4A5,ALDH2,CNTNAP2,PLOD2,SYTL2,MECOM
stomach-carcinoma-intestinal_adenocarcinoma	stomach-carcinoma-intestinal_adenocarcinoma	0.131422387895054	-2.02933880772578	7530	9	0.6	15	17775	9668,4241,5352,84969,51313,26047,25924,54843,2122	ZNF432,MFI2,PLOD2,TOX2,FAM198B,CNTNAP2,MYRIP,SYTL2,MECOM
intestinal_adenocarcinoma	intestinal_adenocarcinoma	0.131422387895054	-2.02933880772578	7530	9	0.6	15	17775	9668,4241,5352,84969,51313,26047,25924,54843,2122	ZNF432,MFI2,PLOD2,TOX2,FAM198B,CNTNAP2,MYRIP,SYTL2,MECOM
acral_lentiginous	acral_lentiginous	0.135174520273987	-2.00118859264593	768	2	0.133333333333333	15	17775	217,26047	ALDH2,CNTNAP2
diffuse_large_B_cell_lymphoma	diffuse_large_B_cell_lymphoma	0.13726377388916	-1.98585084742267	4353	6	0.4	15	17775	256979,9668,26047,5352,25924,84969	SUN3,ZNF432,CNTNAP2,PLOD2,MYRIP,TOX2
haematopoietic_and_lymphoid_tissue-haematopoietic_neoplasm-acute_myeloid_leukaemia_associated_with_MDS	haematopoietic_and_lymphoid_tissue-haematopoietic_neoplasm-acute_myeloid_leukaemia_associated_with_MDS	0.13944280089593	-1.97010079122562	177	1	0.0666666666666667	15	17775	2122	MECOM
acute_myeloid_leukaemia_associated_with_MDS	acute_myeloid_leukaemia_associated_with_MDS	0.13944280089593	-1.97010079122562	177	1	0.0666666666666667	15	17775	2122	MECOM
small_intestine-carcinoid-endocrine_tumour	small_intestine-carcinoid-endocrine_tumour	0.143104533373114	-1.94417991316531	182	1	0.0666666666666667	15	17775	4241	MFI2
acute_myeloid_leukaemia_therapy_related	acute_myeloid_leukaemia_therapy_related	0.143682225258971	-1.94015118694398	1584	3	0.2	15	17775	26047,4241,25924	CNTNAP2,MFI2,MYRIP
