TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	0.407267927628315	-0.89828401128211	7783	2	0.666666666666667	3	17775	256979,2122	SUN3,MECOM
mantle_cell_lymphoma	mantle_cell_lymphoma	0.422896722404114	-0.860627284819579	2976	1	0.333333333333333	3	17775	5352	PLOD2
ovary-other-neoplasm	ovary-other-neoplasm	0.425254425415453	-0.855067641139613	13367	3	1	3	17775	256979,5352,2122	SUN3,PLOD2,MECOM
basal_(triple-negative)_carcinoma	basal_(triple-negative)_carcinoma	0.434632871238081	-0.833253578405493	3077	1	0.333333333333333	3	17775	2122	MECOM
breast-carcinoma-basal_(triple-negative)_carcinoma	breast-carcinoma-basal_(triple-negative)_carcinoma	0.434632871238081	-0.833253578405493	3077	1	0.333333333333333	3	17775	2122	MECOM
carcinoid-endocrine_tumour	carcinoid-endocrine_tumour	0.436143391951272	-0.829784209080296	8129	2	0.666666666666667	3	17775	256979,5352	SUN3,PLOD2
lower_third	lower_third	0.452424260556391	-0.793134909837625	8323	2	0.666666666666667	3	17775	256979,2122	SUN3,MECOM
brainstem	brainstem	0.452445572309052	-0.793087805266579	3233	1	0.333333333333333	3	17775	5352	PLOD2
oesophagus-carcinoma-adenocarcinoma	oesophagus-carcinoma-adenocarcinoma	0.465499580748958	-0.764644082912127	13776	3	1	3	17775	256979,5352,2122	SUN3,PLOD2,MECOM
upper_aerodigestive_tract	upper_aerodigestive_tract	0.470280680006087	-0.754425571023603	13823	3	1	3	17775	256979,5352,2122	SUN3,PLOD2,MECOM
NS-malignant_melanoma	NS-malignant_melanoma	0.488129617515218	-0.71717429873466	3556	1	0.333333333333333	3	17775	2122	MECOM
oesophagus-lower_third-carcinoma-squamous_cell_carcinoma	oesophagus-lower_third-carcinoma-squamous_cell_carcinoma	0.499812110871723	-0.693523029438841	3665	1	0.333333333333333	3	17775	2122	MECOM
kidney-carcinoma	kidney-carcinoma	0.512884573181327	-0.667704462673634	3789	1	0.333333333333333	3	17775	2122	MECOM
haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm-acute_lymphoblastic_B_cell_leukaemia	haematopoietic_and_lymphoid_tissue-lymphoid_neoplasm-acute_lymphoblastic_B_cell_leukaemia	0.532469889592276	-0.630228928363924	3979	1	0.333333333333333	3	17775	5352	PLOD2
acute_lymphoblastic_B_cell_leukaemia	acute_lymphoblastic_B_cell_leukaemia	0.532469889592276	-0.630228928363924	3979	1	0.333333333333333	3	17775	5352	PLOD2
mouth	mouth	0.545053633323384	-0.606871079393139	9422	2	0.666666666666667	3	17775	5352,2122	PLOD2,MECOM
clear_cell_renal_cell_carcinoma	clear_cell_renal_cell_carcinoma	0.552085577254817	-0.594052213462419	14582	3	1	3	17775	256979,5352,2122	SUN3,PLOD2,MECOM
kidney-carcinoma-clear_cell_renal_cell_carcinoma	kidney-carcinoma-clear_cell_renal_cell_carcinoma	0.552085577254817	-0.594052213462419	14582	3	1	3	17775	256979,5352,2122	SUN3,PLOD2,MECOM
prostate	prostate	0.552312788519228	-0.593640747320023	14584	3	1	3	17775	256979,5352,2122	SUN3,PLOD2,MECOM
pleura-mesothelioma	pleura-mesothelioma	0.563382937908699	-0.573795708150552	4290	1	0.333333333333333	3	17775	2122	MECOM
upper_aerodigestive_tract-head_neck-carcinoma-squamous_cell_carcinoma	upper_aerodigestive_tract-head_neck-carcinoma-squamous_cell_carcinoma	0.565280600985951	-0.570433032206796	9663	2	0.666666666666667	3	17775	5352,2122	PLOD2,MECOM
rhabdomyosarcoma	rhabdomyosarcoma	0.56532288054941	-0.570358241063537	4310	1	0.333333333333333	3	17775	5352	PLOD2
lung-carcinoma	lung-carcinoma	0.570243706633803	-0.561691454031449	4361	1	0.333333333333333	3	17775	2122	MECOM
urinary_tract-bladder-carcinoma	urinary_tract-bladder-carcinoma	0.570808509037944	-0.56070148627623	14745	3	1	3	17775	256979,5352,2122	SUN3,PLOD2,MECOM
striated_muscle	striated_muscle	0.573216571356106	-0.556491673194607	4392	1	0.333333333333333	3	17775	5352	PLOD2
bladder	bladder	0.578391192737299	-0.547504835194559	14810	3	1	3	17775	256979,5352,2122	SUN3,PLOD2,MECOM
urinary_tract	urinary_tract	0.578391192737299	-0.547504835194559	14810	3	1	3	17775	256979,5352,2122	SUN3,PLOD2,MECOM
skin-head_neck-carcinoma-squamous_cell_carcinoma	skin-head_neck-carcinoma-squamous_cell_carcinoma	0.590306278336095	-0.527113760952489	14911	3	1	3	17775	256979,5352,2122	SUN3,PLOD2,MECOM
mesothelioma	mesothelioma	0.591603050074407	-0.52491939252253	4587	1	0.333333333333333	3	17775	2122	MECOM
large_intestine-caecum-carcinoma-adenocarcinoma	large_intestine-caecum-carcinoma-adenocarcinoma	0.596504086358233	-0.516669186908985	14963	3	1	3	17775	256979,5352,2122	SUN3,PLOD2,MECOM
kidney-carcinoma-renal_cell_carcinoma	kidney-carcinoma-renal_cell_carcinoma	0.597428397403159	-0.515120839339657	4650	1	0.333333333333333	3	17775	2122	MECOM
renal_cell_carcinoma	renal_cell_carcinoma	0.597428397403159	-0.515120839339657	4650	1	0.333333333333333	3	17775	2122	MECOM
caecum	caecum	0.597940483568518	-0.514264055789681	14975	3	1	3	17775	256979,5352,2122	SUN3,PLOD2,MECOM
haematopoietic_and_lymphoid_tissue	haematopoietic_and_lymphoid_tissue	0.615357495517419	-0.485551886536996	15119	3	1	3	17775	256979,5352,2122	SUN3,PLOD2,MECOM
lung-carcinoma-small_cell_carcinoma	lung-carcinoma-small_cell_carcinoma	0.619763647851052	-0.478417086766666	10319	2	0.666666666666667	3	17775	5352,2122	PLOD2,MECOM
small_cell_carcinoma	small_cell_carcinoma	0.620174625893042	-0.477754185934033	10324	2	0.666666666666667	3	17775	5352,2122	PLOD2,MECOM
thyroid	thyroid	0.621899892470884	-0.474976143776499	10345	2	0.666666666666667	3	17775	256979,2122	SUN3,MECOM
pleura	pleura	0.632261578308257	-0.458452080735752	5040	1	0.333333333333333	3	17775	2122	MECOM
lung-carcinoma-squamous_cell_carcinoma	lung-carcinoma-squamous_cell_carcinoma	0.653993395673128	-0.424658025935059	15429	3	1	3	17775	256979,5352,2122	SUN3,PLOD2,MECOM
lung-carcinoma-non_small_cell_carcinoma	lung-carcinoma-non_small_cell_carcinoma	0.659376397943272	-0.416460742216413	5361	1	0.333333333333333	3	17775	2122	MECOM
non_small_cell_carcinoma	non_small_cell_carcinoma	0.659376397943272	-0.416460742216413	5361	1	0.333333333333333	3	17775	2122	MECOM
lung-right_upper_lobe-carcinoma-adenocarcinoma	lung-right_upper_lobe-carcinoma-adenocarcinoma	0.664453469712387	-0.408790426286751	10869	2	0.666666666666667	3	17775	256979,5352	SUN3,PLOD2
right_upper_lobe	right_upper_lobe	0.664453469712387	-0.408790426286751	10869	2	0.666666666666667	3	17775	256979,5352	SUN3,PLOD2
haematopoietic_and_lymphoid_tissue-haematopoietic_neoplasm-acute_myeloid_leukaemia	haematopoietic_and_lymphoid_tissue-haematopoietic_neoplasm-acute_myeloid_leukaemia	0.668697933005377	-0.402422840991171	10922	2	0.666666666666667	3	17775	256979,5352	SUN3,PLOD2
acute_myeloid_leukaemia	acute_myeloid_leukaemia	0.668697933005377	-0.402422840991171	10922	2	0.666666666666667	3	17775	256979,5352	SUN3,PLOD2
central_nervous_system-medulla-primitive_neuroectodermal_tumour-medulloblastoma-desmoplastic	central_nervous_system-medulla-primitive_neuroectodermal_tumour-medulloblastoma-desmoplastic	0.669243663274292	-0.401607065025019	15548	3	1	3	17775	256979,5352,2122	SUN3,PLOD2,MECOM
central_nervous_system-medulla-primitive_neuroectodermal_tumour-medulloblastoma	central_nervous_system-medulla-primitive_neuroectodermal_tumour-medulloblastoma	0.669243663274292	-0.401607065025019	15548	3	1	3	17775	256979,5352,2122	SUN3,PLOD2,MECOM
central_nervous_system-medulla-primitive_neuroectodermal_tumour-medulloblastoma-classic	central_nervous_system-medulla-primitive_neuroectodermal_tumour-medulloblastoma-classic	0.669243663274292	-0.401607065025019	15548	3	1	3	17775	256979,5352,2122	SUN3,PLOD2,MECOM
central_nervous_system-medulla-primitive_neuroectodermal_tumour-medulloblastoma-large_cell	central_nervous_system-medulla-primitive_neuroectodermal_tumour-medulloblastoma-large_cell	0.669243663274292	-0.401607065025019	15548	3	1	3	17775	256979,5352,2122	SUN3,PLOD2,MECOM
classic	classic	0.66937281104114	-0.401414107938763	15549	3	1	3	17775	256979,5352,2122	SUN3,PLOD2,MECOM
ovary	ovary	0.669501975390759	-0.401221163308946	15550	3	1	3	17775	256979,5352,2122	SUN3,PLOD2,MECOM
medulla	medulla	0.669889568189503	-0.400642403779784	15553	3	1	3	17775	256979,5352,2122	SUN3,PLOD2,MECOM
desmoplastic	desmoplastic	0.670018799026063	-0.400449508742895	15554	3	1	3	17775	256979,5352,2122	SUN3,PLOD2,MECOM
neoplasm	neoplasm	0.670535888570204	-0.39967805260676	15558	3	1	3	17775	256979,5352,2122	SUN3,PLOD2,MECOM
pancreas-carcinoma	pancreas-carcinoma	0.670535888570204	-0.39967805260676	15558	3	1	3	17775	256979,5352,2122	SUN3,PLOD2,MECOM
breast-carcinoma-ductal_carcinoma	breast-carcinoma-ductal_carcinoma	0.671182624533441	-0.398714011331322	15563	3	1	3	17775	256979,5352,2122	SUN3,PLOD2,MECOM
liver-carcinoma-hepatocellular_carcinoma	liver-carcinoma-hepatocellular_carcinoma	0.674682185767617	-0.393513534887461	15590	3	1	3	17775	256979,5352,2122	SUN3,PLOD2,MECOM
hepatocellular_carcinoma	hepatocellular_carcinoma	0.674682185767617	-0.393513534887461	15590	3	1	3	17775	256979,5352,2122	SUN3,PLOD2,MECOM
other	other	0.678454500339793	-0.387937861145474	15619	3	1	3	17775	256979,5352,2122	SUN3,PLOD2,MECOM
large_cell	large_cell	0.678845540361936	-0.387361658358714	15622	3	1	3	17775	256979,5352,2122	SUN3,PLOD2,MECOM
ovary-carcinoma-serous_carcinoma	ovary-carcinoma-serous_carcinoma	0.692247925968729	-0.367811113008174	11219	2	0.666666666666667	3	17775	5352,2122	PLOD2,MECOM
oesophagus	oesophagus	0.698058267404581	-0.359452702046838	15768	3	1	3	17775	256979,5352,2122	SUN3,PLOD2,MECOM
right_lower_lobe	right_lower_lobe	0.704702792359852	-0.349979136176732	5938	1	0.333333333333333	3	17775	5352	PLOD2
lung-right_lower_lobe-carcinoma-adenocarcinoma	lung-right_lower_lobe-carcinoma-adenocarcinoma	0.704702792359852	-0.349979136176732	5938	1	0.333333333333333	3	17775	5352	PLOD2
biliary_tract-bile_duct-carcinoma-adenocarcinoma	biliary_tract-bile_duct-carcinoma-adenocarcinoma	0.714522918998164	-0.336140205152333	15891	3	1	3	17775	256979,5352,2122	SUN3,PLOD2,MECOM
bile_duct	bile_duct	0.714522918998164	-0.336140205152333	15891	3	1	3	17775	256979,5352,2122	SUN3,PLOD2,MECOM
serous_carcinoma	serous_carcinoma	0.715127347470553	-0.335294643797115	11513	2	0.666666666666667	3	17775	5352,2122	PLOD2,MECOM
